CLASS,LABEL,ERROR,LATENT_DISTANCE,EMBEDDING_DISTANCE,TYPE_DATASET
Riding-Horse,3,197.99869,7.700625,21.7495,TRAIN
Kicking,6,230.51523,7.0109563,21.890684,TRAIN
Swing-SideAngle,1,314.8134,4.526576,20.611069,TRAIN
Run-Side,0,204.6051,5.0352325,19.328323,TRAIN
Golf-Swing,4,332.42456,3.6047041,19.39563,TRAIN
Diving-Side,5,227.41876,3.3066475,16.453125,TRAIN
Swing-Bench,2,144.15222,6.3293095,17.339205,TRAIN
Swing-Bench,2,424.3415,6.471662,25.729427,TRAIN
Kicking,6,165.55121,6.7770276,20.775972,TRAIN
Diving-Side,5,135.63074,4.5377083,14.512869,TRAIN
Run-Side,0,150.70282,6.636974,18.567312,TRAIN
Swing-SideAngle,1,168.63138,5.804194,17.84655,TRAIN
Kicking,6,171.36636,7.921601,20.343248,TRAIN
Riding-Horse,3,274.87677,6.969216,23.646183,TRAIN
Riding-Horse,3,255.89734,4.6873226,18.062641,TRAIN
Kicking,6,158.1701,6.697053,19.866476,TRAIN
Swing-SideAngle,1,315.6975,4.8874016,20.654806,TRAIN
Kicking,6,272.0557,7.58308,24.897932,TRAIN
Swing-SideAngle,1,193.75903,6.4489264,18.205322,TRAIN
Kicking,6,93.44779,12.935099,24.425587,TRAIN
Swing-Bench,2,307.8388,7.9180017,23.29337,TRAIN
Run-Side,0,207.24707,3.9888554,18.435198,TRAIN
Riding-Horse,3,261.64746,5.4346557,19.955156,TRAIN
Diving-Side,5,164.07533,6.6961613,16.249197,TRAIN
Swing-SideAngle,1,107.10729,5.5601344,15.789401,TRAIN
Diving-Side,5,125.12721,4.845686,14.59179,TRAIN
Golf-Swing,4,415.9451,3.621231,21.960451,TRAIN
Run-Side,0,99.568344,8.264602,18.630703,TRAIN
Kicking,6,281.34006,8.067286,23.339907,TRAIN
Swing-SideAngle,1,245.1052,3.7144086,18.383966,TRAIN
Run-Side,0,329.50058,3.6365736,20.805239,TRAIN
Kicking,6,400.3935,5.576977,24.011902,TRAIN
Swing-SideAngle,1,121.65731,6.484696,17.371088,TRAIN
Swing-Bench,2,170.0062,7.3315377,19.2523,TRAIN
Swing-SideAngle,1,144.19196,4.5017095,15.567607,TRAIN
Swing-SideAngle,1,195.97751,4.1509876,17.110956,TRAIN
Golf-Swing,4,364.17554,4.909523,21.828127,TRAIN
